confidence_threshold,margin_threshold,rows,precision_auto,precision_wilson_lower_95,coverage,correct_auto,wrong_auto,net_cost_seconds,abstentions,correct_refusal_rate_blank,recall_at_3_answerable,recall_at_3_reviewed,cross_tenant_violations,safety_block_auto_violations,p50_latency_ms,p95_latency_ms,max_latency_ms
0.7,0.05,420,0.9473684210526315,0.8723414339669251,0.18095238095238095,72,4,15520,344,0.968,0.9322033898305084,0.9103139013452914,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.7,0.08,420,0.9473684210526315,0.8723414339669251,0.18095238095238095,72,4,15520,344,0.968,0.9322033898305084,0.9103139013452914,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.7,0.1,420,0.9473684210526315,0.8723414339669251,0.18095238095238095,72,4,15520,344,0.968,0.9322033898305084,0.9103139013452914,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.7,0.15,420,0.9473684210526315,0.8723414339669251,0.18095238095238095,72,4,15520,344,0.968,0.9322033898305084,0.9103139013452914,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.7,0.2,420,0.9466666666666667,0.8707382679518444,0.17857142857142858,71,4,15580,345,0.968,0.9322033898305084,0.9107142857142857,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.8,0.0,420,0.9285714285714286,0.8434438687669077,0.16666666666666666,65,5,16700,350,0.96,0.9322033898305084,0.9130434782608695,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.8,0.02,420,0.9420289855072463,0.8602055747557682,0.16428571428571428,65,4,15940,351,0.968,0.9322033898305084,0.9130434782608695,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.8,0.05,420,0.9420289855072463,0.8602055747557682,0.16428571428571428,65,4,15940,351,0.968,0.9322033898305084,0.9130434782608695,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.8,0.08,420,0.9420289855072463,0.8602055747557682,0.16428571428571428,65,4,15940,351,0.968,0.9322033898305084,0.9130434782608695,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.8,0.1,420,0.9420289855072463,0.8602055747557682,0.16428571428571428,65,4,15940,351,0.968,0.9322033898305084,0.9130434782608695,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.8,0.15,420,0.9420289855072463,0.8602055747557682,0.16428571428571428,65,4,15940,351,0.968,0.9322033898305084,0.9130434782608695,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.8,0.2,420,0.9411764705882353,0.8582811003734307,0.1619047619047619,64,4,16000,352,0.968,0.9322033898305084,0.9134199134199135,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.85,0.0,420,0.9272727272727272,0.827398219083632,0.13095238095238096,51,4,16780,365,0.968,0.9322033898305084,0.9180327868852459,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.85,0.02,420,0.9444444444444444,0.8489254853651705,0.12857142857142856,51,3,16020,366,0.976,0.9322033898305084,0.9180327868852459,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.85,0.05,420,0.9444444444444444,0.8489254853651705,0.12857142857142856,51,3,16020,366,0.976,0.9322033898305084,0.9180327868852459,0,0,30.58929997496307,41.89770016819239,49.58069999702275
